iter	Accuracy	MultiClass
0	0.8871200629	0.9496746738
1	0.9121415386	0.8352724294
2	0.9248076326	0.7408460475
3	0.9394476633	0.6642264306
4	0.9412388281	0.5989851187
5	0.9426461718	0.5434955816
6	0.9450587612	0.4954215912
7	0.9451867015	0.4533467649
8	0.9482207154	0.4182514862
9	0.943139656	0.386965619
10	0.9438707437	0.3593445248
11	0.9515471643	0.3342306969
12	0.9523696379	0.3125520641
13	0.9537221501	0.2937104435
14	0.9538866449	0.2763551816
15	0.954855336	0.2604464369
16	0.9552026027	0.2462092286
17	0.9555315921	0.233208034
18	0.9552391571	0.2219654796
19	0.9556778097	0.2114059209
20	0.9545080694	0.2017456381
21	0.9561164623	0.1932184973
22	0.9576517464	0.1853536082
23	0.9580172902	0.178267364
24	0.9613437391	0.1721282303
25	0.9623855391	0.1661394398
26	0.9643229214	0.1607817497
27	0.9656754336	0.1560318946
28	0.9661140862	0.1515278624
29	0.9667172336	0.1475150536
30	0.9672838265	0.1433210155
31	0.9684535668	0.1395004683
32	0.969239486	0.1358809446
33	0.9685632299	0.1328057953
34	0.9690749913	0.1299989547
35	0.9691663773	0.1269343983
36	0.969897465	0.1237733951
37	0.9712865315	0.1207795576
38	0.9715606894	0.1185185785
39	0.9715789666	0.1162865289
40	0.972090728	0.1141067842
41	0.9726024894	0.1118882546
42	0.9727121525	0.110070053
43	0.9729863104	0.1081187706
44	0.9735529033	0.1063419826
45	0.9736442893	0.1050011203
46	0.9737173981	0.1034650474
47	0.9736077349	0.1016120944
48	0.973808784	0.09995636138
49	0.9741743279	0.09881246554
50	0.9745215945	0.09740045131
51	0.9747226436	0.09615060295
52	0.9750881875	0.09472879229
53	0.9750333559	0.09342370185
54	0.9755085629	0.0920245341
55	0.9755451172	0.09072147765
56	0.9761665418	0.08957273008
57	0.9761117102	0.08846833826
58	0.9764589768	0.08729813731
59	0.9766965803	0.08608351748
60	0.9768427979	0.08511677261
61	0.977043847	0.08412475532
62	0.9777749347	0.08319955407
63	0.9775921627	0.08247068968
64	0.9779394294	0.0815720888
65	0.9781953101	0.08054961179
66	0.9784146364	0.07972405132
67	0.9786156855	0.07891931656
68	0.9788715662	0.07798443462
69	0.97923711	0.07729768198
70	0.9794381591	0.07648766987
71	0.979620931	0.07575855125
72	0.9801144152	0.07508611473
73	0.9800230293	0.07447776644
74	0.980187524	0.07392422298
75	0.980096138	0.07312274169
76	0.9802423556	0.07250240118
77	0.9802971871	0.07205432749
78	0.9807541169	0.07148407302
79	0.9810831064	0.07084510447
80	0.981430373	0.070358355
81	0.9818324713	0.06968399813
82	0.9821797379	0.06912723992
83	0.9821431835	0.06854834472
84	0.9825270046	0.06803743062
85	0.9828742712	0.06760808556
86	0.9828194396	0.06727383729
87	0.9826732221	0.06679530602
88	0.9829656572	0.06633844624
89	0.9830935975	0.06588874416
90	0.9836419133	0.06520138609
91	0.9838977939	0.0648765633
92	0.9836784676	0.06442700345
93	0.984281615	0.06391421696
94	0.9842450606	0.06354697101
95	0.9844461097	0.06319240921
96	0.9847202676	0.06278879601
97	0.984665436	0.06239704309
98	0.9848116535	0.06200297839
99	0.9849395939	0.06166952599
100	0.9849578711	0.06128901424
101	0.9853416921	0.06076198904
102	0.9856341272	0.06035282068
103	0.9856341272	0.0600340685
104	0.9857803447	0.05957664876
105	0.9857986219	0.05930934668
106	0.9859448394	0.05903361707
107	0.9860727798	0.05879021311
108	0.9861093342	0.05844468587
109	0.9863286605	0.05818714986
110	0.9865297096	0.05791916901
111	0.9867673131	0.05752335727
112	0.9868038675	0.05723714004
113	0.9871694113	0.05688289634
114	0.9872242429	0.05659121657
115	0.9872973516	0.05613078534
116	0.9872425201	0.05561761821
117	0.9872973516	0.05516442421
118	0.9873887376	0.0548479513
119	0.9876080639	0.05457257119
120	0.9877360042	0.05433404688
121	0.9877725586	0.05407767128
122	0.9876811727	0.05378316022
123	0.9878273902	0.05349190882
124	0.9878456674	0.0531686149
125	0.987717727	0.05276765927
126	0.9877725586	0.05244265041
127	0.9880649937	0.05214945991
128	0.9880284393	0.05200684359
129	0.9881015481	0.05175482482
130	0.988192934	0.05150792293
131	0.9881563797	0.05115321525
132	0.9882112112	0.05100663167
133	0.9884122603	0.05068445543
134	0.9885036463	0.05047908937
135	0.9884305375	0.0500896907
136	0.9885402007	0.04986761536
137	0.9885584779	0.04952153824
138	0.9887960814	0.04926797113
139	0.9889057445	0.04905105659
