iter	Passed	Remaining
438	2222	308
439	2227	303
440	2231	298
441	2236	293
442	2240	288
443	2244	283
444	2249	278
445	2253	272
446	2258	267
447	2262	262
448	2267	257
449	2271	252
450	2276	247
451	2280	242
452	2285	237
453	2290	232
454	2294	226
455	2299	221
456	2304	216
457	2309	211
458	2314	206
459	2318	201
460	2322	196
461	2327	191
462	2331	186
463	2335	181
464	2340	176
465	2344	171
466	2348	165
467	2353	160
468	2358	155
469	2362	150
470	2367	145
471	2371	140
472	2376	135
473	2381	130
474	2385	125
475	2389	120
476	2393	115
477	2398	110
478	2403	105
479	2407	100
480	2411	95
481	2416	90
482	2421	85
483	2425	80
484	2430	75
485	2435	70
486	2440	65
487	2444	60
488	2449	55
489	2453	50
490	2458	45
491	2462	40
492	2467	35
493	2472	30
494	2476	25
495	2481	20
496	2485	15
497	2490	10
498	2494	4
499	2499	0
