time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
15,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
15,B0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
15,B1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
15,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
15,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,A1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B2,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,C1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,A1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,B0,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,B1,1,1,2,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,B2,4,0,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,C1,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
60,A1,2,4,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B1,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,C1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,A1,6,8,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,B0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,B1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,B2,4,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,C1,9,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
90,A1,3,13,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
90,B0,0,2,3,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
90,B1,3,6,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
90,B2,3,0,3,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
90,C1,9,6,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,A1,1,13,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,B0,0,2,7,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,B1,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,B2,1,0,5,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
105,C1,8,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
120,A1,3,13,0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
120,B0,0,4,11,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
120,B1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
120,B2,1,0,5,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
