time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
150,2,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1
150,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2
165,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,2
165,0,1,8,2,0,0,0,0,0,0,0,0,0,1,0,1
165,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
165,1,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1
165,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2
180,2,7,0,1,0,0,0,0,0,0,0,0,0,0,1,2
180,0,2,10,3,0,0,0,0,0,0,0,0,0,0,1,1
180,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1
180,1,0,5,6,0,0,0,0,0,0,0,0,0,0,1,1
180,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2
195,3,7,0,1,0,0,0,0,0,0,0,0,0,0,1,2
195,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,1
195,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1
195,2,0,2,6,0,0,0,0,0,0,0,0,0,0,1,1
195,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
210,4,8,0,1,0,0,0,0,0,0,0,0,0,0,1,2
210,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,1
210,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2
210,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1
210,8,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2
225,4,7,0,1,0,0,0,0,0,0,0,0,0,1,0,2
225,0,1,6,4,0,0,0,0,0,0,0,0,0,1,0,1
225,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,2
225,1,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1
225,9,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
240,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,2
240,0,2,7,4,0,0,0,0,0,0,0,0,0,1,0,1
240,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1
240,1,0,5,6,0,0,0,0,0,0,0,0,0,1,0,1
240,6,2,4,0,0,0,0,0,0,0,0,0,0,1,0,2
255,2,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2
255,0,3,6,2,0,0,0,0,0,0,0,0,0,0,1,1
255,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1
255,1,0,3,6,0,0,0,0,0,0,0,0,0,0,1,1
255,6,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2
270,3,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2
270,0,3,5,1,0,0,0,0,0,0,0,0,0,0,1,1
270,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1
270,2,0,3,7,0,0,0,0,0,0,0,0,0,0,1,1
270,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2
285,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,2
285,0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,1
285,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2
285,1,0,3,7,0,0,0,0,0,0,0,0,0,1,0,1
285,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
300,3,5,0,3,0,0,0,0,0,0,0,0,0,1,0,2
300,0,1,5,4,0,0,0,0,0,0,0,0,0,1,0,1
300,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
300,1,0,3,8,0,0,0,0,0,0,0,0,0,1,0,1
300,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2
315,3,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2
315,0,3,5,5,0,0,0,0,0,0,0,0,0,0,1,1
315,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
315,1,0,3,10,0,0,0,0,0,0,0,0,0,0,1,1
315,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2
330,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,2
330,0,3,5,1,0,0,0,0,0,0,0,0,0,0,1,1
330,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
330,2,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1
330,6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2
345,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2
345,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1
345,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
345,1,0,1,8,0,0,0,0,0,0,0,0,0,1,0,1
345,7,8,1,0,0,0,0,0,0,0,0,0,0,1,0,2
360,6,4,0,2,0,0,0,0,0,0,0,0,0,1,0,2
360,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,1
360,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
360,1,0,2,8,0,0,0,0,0,0,0,0,0,1,0,1
360,5,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2
375,2,3,0,2,0,0,0,0,0,0,0,0,0,1,0,2
375,0,1,7,2,0,0,0,0,0,0,0,0,0,1,0,1
375,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1
375,2,0,3,9,0,0,0,0,0,0,0,0,0,1,0,1
375,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
390,2,6,0,3,0,0,0,0,0,0,0,0,0,0,1,2
390,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1
390,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1
390,1,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1
390,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2
