time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
30,A1,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,B1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B2,2,0,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,C1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
60,A1,3,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60,B1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B2,7,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60,C1,5,4,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
90,A1,11,16,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
90,B0,0,12,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
90,B1,8,9,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
90,B2,12,0,1,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
90,C1,15,8,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
120,A1,15,20,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
120,B0,0,15,20,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
120,B1,15,14,3,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
120,B2,14,0,8,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
120,C1,20,13,14,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,A1,11,21,0,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,B0,0,10,20,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150,B1,17,13,8,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,B2,10,0,16,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150,C1,21,10,16,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
180,A1,15,20,0,17,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
180,B0,0,10,20,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180,B1,15,11,10,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
180,B2,10,0,16,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180,C1,20,12,17,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
210,A1,20,20,0,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
210,B0,0,13,21,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
210,B1,17,16,5,21,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
210,B2,10,0,11,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
210,C1,20,18,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
240,A1,18,18,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
240,B0,0,14,20,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
240,B1,20,18,2,10,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
240,B2,14,0,14,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
240,C1,20,18,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
270,A1,10,21,0,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
270,B0,0,5,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
270,B1,21,19,4,10,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
270,B2,7,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
270,C1,20,11,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
300,A1,13,20,0,17,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
300,B0,0,3,20,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,B1,8,12,6,13,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
300,B2,4,0,19,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,C1,20,13,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
330,A1,20,20,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
330,B0,0,5,21,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
330,B1,8,11,5,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
330,B2,8,0,10,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
330,C1,20,20,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
360,A1,20,20,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
360,B0,0,8,20,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
360,B1,12,14,1,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
360,B2,10,0,11,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
360,C1,20,20,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
390,A1,11,20,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
390,B0,0,3,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
390,B1,13,16,1,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
390,B2,3,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
390,C1,20,10,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
420,A1,11,21,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
420,B0,0,2,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
420,B1,6,8,1,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
420,B2,2,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
420,C1,21,11,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
450,A1,20,20,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
450,B0,0,6,20,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
450,B1,6,8,1,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
450,B2,5,0,10,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
450,C1,20,20,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
480,A1,20,20,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
480,B0,0,8,21,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
480,B1,8,10,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
480,B2,8,0,10,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
480,C1,20,20,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
510,A1,12,19,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
510,B0,0,2,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
510,B1,10,9,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
510,B2,1,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
510,C1,20,11,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
540,A1,11,21,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
540,B0,0,2,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
540,B1,7,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
540,B2,1,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
540,C1,21,11,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
570,A1,19,20,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
570,B0,0,4,20,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
570,B1,4,1,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
570,B2,1,0,12,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
570,C1,20,19,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
600,A1,20,20,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
600,B0,0,7,21,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
600,B1,9,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
600,B2,4,0,10,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
600,C1,20,20,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
630,A1,13,20,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
630,B0,0,2,20,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
630,B1,10,6,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
630,B2,1,0,18,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
630,C1,20,13,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
660,A1,10,18,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
660,B0,0,1,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
660,B1,6,1,1,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
660,B2,1,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
660,C1,21,10,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
690,A1,17,20,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
690,B0,0,2,20,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
690,B1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
690,B2,2,0,14,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
690,C1,20,17,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
720,A1,20,20,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
720,B0,0,6,20,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
720,B1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
720,B2,5,0,10,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
720,C1,20,20,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
750,A1,16,20,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
750,B0,0,2,20,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
750,B1,9,4,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
750,B2,3,0,15,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
750,C1,20,15,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
780,A1,11,21,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
