time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
25,A1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
25,B0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,B1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
25,B2,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,C1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
50,A1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
50,B0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,B1,3,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,B2,6,0,2,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,C1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,A1,8,11,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,B0,0,8,10,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75,B1,6,7,5,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
75,B2,11,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75,C1,10,5,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
100,A1,12,19,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
100,B0,0,12,16,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
100,B1,10,12,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
100,B2,12,0,4,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
100,C1,17,9,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
125,A1,10,21,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
125,B0,0,10,20,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
125,B1,13,16,6,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
125,B2,10,0,10,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
125,C1,21,7,13,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,A1,6,21,0,16,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,B0,0,7,20,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150,B1,15,9,9,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
150,B2,6,0,17,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150,C1,20,7,20,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
175,A1,14,20,0,12,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
175,B0,0,12,20,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
175,B1,15,11,9,14,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
175,B2,11,0,11,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
175,C1,20,13,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
200,A1,20,20,0,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
200,B0,0,17,21,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
200,B1,19,16,6,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
200,B2,14,0,11,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
200,C1,20,20,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
225,A1,13,18,0,16,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
225,B0,0,11,20,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
225,B1,17,18,4,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
225,B2,9,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
225,C1,20,12,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
250,A1,10,21,0,19,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
250,B0,0,7,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
250,B1,8,18,8,10,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
250,B2,4,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
250,C1,21,11,9,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
275,A1,19,20,0,13,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
275,B0,0,7,20,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
275,B1,6,12,9,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
275,B2,8,0,14,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
275,C1,20,19,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
300,A1,20,20,0,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
300,B0,0,9,21,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,B1,7,14,5,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
300,B2,9,0,11,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,C1,20,20,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
325,A1,15,18,0,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
325,B0,0,5,20,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
325,B1,6,19,3,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
325,B2,5,0,18,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
325,C1,18,15,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
350,A1,10,21,0,16,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
350,B0,0,2,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
350,B1,1,17,4,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
350,B2,2,0,20,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
350,C1,21,11,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
375,A1,17,20,0,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
375,B0,0,2,20,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
375,B1,1,11,4,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
375,B2,5,0,15,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
375,C1,20,17,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
400,A1,20,20,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
