time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
21,A1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
21,B0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,B1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,B2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,C1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,A1,2,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,B0,0,4,5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,B1,2,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,B2,4,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,C1,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
63,A1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
63,B0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,B1,3,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,B2,5,0,4,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,C1,6,5,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
84,A1,8,13,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
84,B0,0,12,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
84,B1,3,7,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
84,B2,9,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
84,C1,11,9,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
105,A1,7,17,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,B0,0,9,9,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
105,B1,2,9,3,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,B2,6,0,7,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
105,C1,14,6,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
126,A1,3,17,0,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
126,B0,0,1,16,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
126,B1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
126,B2,2,0,9,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
126,C1,18,7,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
147,A1,6,18,0,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
147,B0,0,3,17,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,B1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,B2,1,0,9,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,C1,14,8,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
168,A1,10,20,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
168,B0,0,4,19,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
168,B1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
168,B2,4,0,6,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
168,C1,17,11,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
189,A1,10,18,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
189,B0,0,3,19,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
189,B1,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
189,B2,3,0,8,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
189,C1,19,12,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
210,A1,8,20,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
210,B0,0,3,19,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
210,B1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
210,B2,2,0,12,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
210,C1,21,9,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
231,A1,7,20,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
231,B0,0,1,20,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
231,B1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
231,B2,2,0,15,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
